Geladeira;preco;preco_desconto;parcelas;valor_parcela
Refrigerador Consul 261L 1 Porta Branco 220V CRA30FBBNA;2.099,00;1.489,00;12;145,98
Geladeira Brastemp Frost Free Duplex 400 litros Branca com Freeze Control - BRM54HB;3.839,00;3.679,00;12;306,58
Geladeira Top Freezer Inverter Electrolux 431 Litros Frost Free Branco IF55 - 110V;3.652,75;3.104,84;12;304,40
Geladeira Duplex Consul 397 Litros Frost Free Evox CRE44AK - 110V;4.007,51;3.406,38;12;333,96
Refrigerador Electrolux Top Freezer 474L Platinum (DF56S) 220V;4.452,52;3.784,64;12;371,04
Geladeira Duplex Top Freezer Electrolux 474 Litros Frost Free Branca DF56 - 220V;3.952,91;3.359,97;12;329,41
Geladeira/Refrigerador Frost Free 371 Litros Electrolux DFN41 Branca 220V;3.273,32;2.782,32;10;327,33
Refrigerador Consul Frost Free 300 Litros Branco CRB36AB - 127 Volts;2.317,89;1.970,21;12;193,16
Geladeira Brastemp Inverse Frost Fr 2 Portas 443L Evox;4.249,00;4.159,90;10;415,99
Geladeira Samsung Frost Free Duplex BAROSA com Smart Sensor e Rack para Vinho 435L Inox Look;6.470,00;6.470,00;1;6.470,00
