Livro;preco;preco_desconto;parcelas;valor_parcela
 O Mundo de Lore: Criaturas Estranhas;48,97;48,97;1;48,97
 Arsène Lupin e a rolha de cristal;12,14;10,93;1;10,93
 Uma fada veio me visitar;25,00;12,50;1;12,50
 Não abra este livro...Sério;29,90;26,91;1;26,91
 Atraído;52,90;49,20;1;49,20
 Garotas de neve e vidro;54,90;38,54;1;38,54
 colecao ii;49,90;33,24;1;33,24
 Bruxas Literárias: Alquimia das Palavras;59,90;50,14;1;50,14
 Realidades adaptadas;38,67;34,80;1;34,80
 Um negocio mortal;40,00;17,25;1;17,25
 Filho dourado;59,90;59,90;1;59,90
 Cidade de vidro (Vol.3 Os Instrumentos Mortais);54,90;29,80;1;29,80
 Arsène Lupin e o estilhaço de obus;14,90;13,41;1;13,41
 Aventuras Estranhas;39,90;39,90;1;39,90
 O dominador (Vol. 2);44,90;28,90;1;28,90
 Box House of Night - Slim;107,91;97,12;2;53,96
 A rebelde do deserto;42,90;30,42;1;30,42
 O assassinato de Verônica Dantas;35,00;24,90;1;24,90
 A torre da andorinha - The Witcher - A saga do bruxo Geralt de Rívia (Capa game);37,91;37,91;1;37,91
 Princesa mecânica (Vol. 3 As Peças Infernais);59,90;27,40;1;27,40
 Era uma Vez a Vaca Vitória, Que Caiu no Buraco e Acabou a História;35,47;31,92;1;31,92
 Saga três luas - Livro 1: Lua azul;44,90;31,40;1;31,40
 O Pequeno Príncipe;25,14;25,14;1;25,14
 O vale do terror;20,90;20,90;1;20,90
 Arsène Lupin, o ladrão de casaca;11,87;10,68;1;10,68
 O pequeno príncipe;39,90;21,90;1;21,90
 A Escola do bem e do mal Vol. 5: O cristal do tempo;42,90;42,90;1;42,90
 Procure nas cinzas;59,90;47,90;1;47,90
 O caçador de pipas;49,90;35,93;1;35,93
 Faca;64,90;44,90;2;22,45
 O mistério do Rocinante;60,80;60,80;1;60,80
 Tiros, bombas e reflexões: A estranha vocação policial;41,90;37,71;1;37,71
 Terrível encanto - Volume 1;29,50;16,90;1;16,90
 O último dos magos;59,90;39,90;2;19,95
 A queda dos reinos;47,90;35,90;2;17,95
 Circo Mecânico Tresalti - Classic Edition;49,90;39,90;2;19,95
 Mistborn Primeira Era - O poço da ascensão (vol. 2);54,90;39,90;2;19,95
 O Médico e o Monstro;19,53;17,58;1;17,58
 Os olhos da escuridão;44,90;27,90;1;27,90
 Um céu além da tempestade (Vol. 4 Uma chama entre as cinzas);41,42;37,28;1;37,28
 As crônicas de Nárnia - Príncipe Caspian;21,90;19,71;1;19,71
 A punição de Bourne;59,00;25,90;1;25,90
 Alerta negro;69,90;55,92;1;55,92
 A espada do destino - The Witcher - A saga do bruxo Geralt de Rívia (capa dura);64,90;45,90;3;15,30
 Novembro de 63;99,90;79,90;2;39,95
 Mar de Tinta e Ouro: A Oradora;41,90;41,90;1;41,90
 O silêncio da chuva;41,93;41,93;1;41,93
 O Livro Branco perdido (Edição de colecionador - Vol. 2 As Maldições Ancestrais);59,90;40,45;2;20,23
 Solomon Kane;54,90;29,90;1;29,90
 O sangue dos elfos - The Witcher - A saga do bruxo Geralt de Rívia;49,90;28,90;1;28,90
 Fallen (Capa do filme);39,90;23,90;1;23,90
 Dungeons & Dragons;49,90;44,91;1;44,91
 Selada com sangue;39,90;39,90;1;39,90
 A Guerra da Rainha Vermelha - Vol. 1: Prince of Fools;64,90;49,90;3;16,63
 Enquanto bela dormia;44,90;38,39;1;38,39
" Dipper e Mabel em ""A maldição do tesouro dos piratas do tempo""";39,90;35,91;1;35,91
 A prisão do rei;44,90;31,86;1;31,86
 Não Abra Este Livro... Novamente;39,90;27,90;1;27,90
 A fera dos mares;44,12;44,12;1;44,12
 Jogador Número Um;69,90;40,41;1;40,41
 Eragon;49,90;35,46;1;35,46
 A estrela do diabo;59,90;55,71;1;55,71
 Princesas - Hora do Banho;29,90;29,90;1;29,90
 Histórias de horror e mistério;49,90;34,90;1;34,90
 Um corpo na biblioteca;44,90;31,90;2;15,95
 A fada mamãe e eu (Vol.1);44,90;26,20;1;26,20
 Fallen (Vol. 1);37,91;37,91;1;37,91
 Um anjo de mochila azul;28,25;25,43;1;25,43
 Eterna união;55,90;55,90;1;55,90
 Recursão;69,90;34,80;2;17,40
 Este livro está te chamando (não ouve?);48,00;34,11;1;34,11
 O Bruxo - The Witcher (capa dura);99,90;62,90;2;31,45
 Assassin’s Creed: Heresia;54,90;25,90;1;25,90
 Os desejos da Bela Adormecida;29,50;20,90;1;20,90
 Cavalo de troia 5 - Cesareia 2º edição;44,90;40,41;1;40,41
 A mulher na cabine 10;34,70;34,70;1;34,70
 A máquina fantabulástica;58,70;53,45;1;53,45
 A queda dos anjos (Vol. 1 Fim dos dias);59,90;31,90;2;15,95
 Arsène Lupin e os enigmas;12,14;10,93;1;10,93
 O sangue dos elfos - The Witcher - A saga do bruxo Geralt de Rívia (capa dura);64,90;45,40;3;15,13
 Mistborn Segunda Era - As sombras de si mesmo;54,90;29,90;1;29,90
 Filhos do Éden: Universo Expandido;99,90;64,90;4;16,23
 O Poço e o Pêndulo;19,55;17,60;1;17,60
 Histórias Para Crianças...1 ano;29,50;27,44;1;27,44
 As portas da percepção;49,90;35,03;1;35,03
 Guerra Mundial Z;36,00;17,90;1;17,90
 O triturador;41,42;41,42;1;41,42
 O espadachim de carvão  e as pontes de Puzur;16,90;15,21;1;15,21
 A Menina Que Odiava Livros;29,83;29,83;1;29,83
 O reino de Zália;30,25;30,25;1;30,25
 O olho de Lilith;26,47;26,47;1;26,47
 EntreMundos;29,50;29,50;1;29,50
