Notebooks;preco;parcelas;valor_parcelas
Notebook Acer A515-54-557C Intel Core I5 4Gb 256Gb Ssd Prata;4.799,90;10;479,99
"Notebook Lenovo V 15Intel Core i3-10110U 8GB 256GB SSD 15,6&quot; HD Windows 10 Pro, Cinza";5.049,00;10;504,90
Notebook Acer Aspire 3 A315-23-R6M7 AMD Ryzen 5 Windows 10 Home 8GB 256GB SSD 15,6`;4.453,21;10;445,32
MacBook Pro de 13 Polegadas Prateado com 512GB e M1 da Apple;19.799,00;10;1.979,90
"Kit Notebook Dell Inspiron 3501-M46SS 15.6&quot; HD 10ª Geração Intel Core i5 8GB 256GB SSD Windows + Capa Essential";4.519,00;10;451,90
Notebook Samsung E30 15.6 I3-1115G4 4Gb Ssd256 W10 - Np550xda-Kt3br;8.025,80;10;802,58
Note Acer A515-56-327T W10h Ci3 1115G4 4Gb Ram 256Ssd 15.6;5.589,99;10;559,00
Notebook Acer Aspire 5 256Gb SSD Core I5-10210U 4Gb Ram;4.799,90;10;479,99
Notebook Samsung Galaxy Book S , Intel Core i5, 8GB, 256GB SSD, Tela de 13,3`` Touch - NP767XCM-K01BR;6.089,00;10;608,90
MSI GL66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3060 SSD 1Tb NVMe RAM 32Gb;30.600,00;10;3.060,00
MSI GP66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3070 SSD 1Tb NVMe RAM 32Gb;36.400,00;10;3.640,00
MSI GP66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3080 SSD 1Tb NVMe RAM 32Gb;41.500,00;10;4.150,00
MSI GL66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3060 SSD 4Tb NVMe RAM 64Gb;38.300,00;10;3.830,00
MSI GP66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3080 SSD 2Tb NVMe RAM 64Gb;45.400,00;10;4.540,00
Asus ZenBook Duo UX482 (Ultrabook) i7-1165G7 tela 14` FHD MX450 SSD 2Tb NVMe RAM 32Gb;30.600,00;10;3.060,00
Notebook ASUS ZenBook UX434FAC-A6339T Prata Metálico;8.999,00;10;899,90
Notebook ASUS M515DA-EJ502T Cinza;4.499,00;10;449,90
MSI GL66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3060 SSD 2Tb NVMe RAM 64Gb;34.500,00;10;3.450,00
MSI GP66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3070 SSD 512Gb NVMe RAM 16Gb;32.600,00;10;3.260,00
Notebook Acer 14” AMD Ryzen 5 4.0GHz Hexa-Core 8GB RAM 512GB SSD Windows 10 - Prata;6.199,00;10;619,90
MSI GP66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3070 SSD 2Tb NVMe RAM 64Gb;40.200,00;10;4.020,00
MSI GP66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3080 SSD 512Gb NVMe RAM 16Gb;37.700,00;10;3.770,00
MSI GP66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3070 SSD 4Tb NVMe RAM 64Gb;44.100,00;10;4.410,00
