Geladeira;preco;parcelas;valor_parcelas
Refrigerador Samsung Inverter Frost Free Side By Side RS65R 3 Portas com Tecnologia Exclusiva SpaceMax Inox Look - 602 Litros;14.439,00;12;1.203,25
Refrigerador Brastemp Frost Free BRY59BE Inverse 3 com Freeze Control Pro Preto – 419 Litros;7.699,00;12;641,58
Refrigerador Duplex Frost Free Evox 478L Brastemp 127V;6.776,67;12;564,72
Geladeira/Refrigerador Frost Free 500L Brastemp BRM57AK Evox 127V Geladeira 500L Brastemp BRM57AK Evox 110V;5.427,45;12;452,29
Refrigerador Brastemp FF Duplex 500L 2 Pts Branco 220V;4.665,56;12;388,80
Refrigerador BB53 Frost Free 425L Branco - Panasonic;3.999,00;12;333,25
Refrigerador Electrolux Inverter 431 Litros Platinum IF55S - 127 Volts;4.397,84;12;366,49
Refrigerador Electrolux Frost Free 454 Litros DB53;4.598,46;12;383,20
Geladeira Consul Frost Free Duplex 397 litros Inox com Freezer Embaixo;4.309,00;12;359,08
Refrigerador Brastemp 2 Portas Evox 375l Frost Free 127v;3.543,33;12;295,28
Refrigerador Electrolux Top Freezer 431L Platinum TF55S;3.665,56;12;305,46
Refrigerador Electrolux Top Freezer 431L Platinum 127V TF55S;3.665,56;12;305,46
Refrigerador Brastemp Frost Free Duplex 400 Litros com Freeze Control Branco BRM54HB;3.762,06;12;313,50
Refrigerador Brastemp Frost Free Duplex 400 Litros com Freeze Control Branco BRM54HB;3.764,04;12;313,67
Geladeira Refrigerador Electrolux Frost Free Inox 2 Portas 371 Litros DFX41;3.495,61;12;291,30
Refrigerador Brastemp Frost Free 375 Litros Branco BRM44 - 127 Volts;3.232,91;12;269,41
Geladeira Brastemp 375 Litros Frost Free 2 Portas com Painel Eletrônico;2.799,90;11;254,54
Refrigerador Consul Frost Free 342 litros Inox CRB39AK;2.598,05;10;259,80
Geladeira Consul Biplex CRD37E 332L;1.999,00;10;199,90
Refrigerador Samsung RF56K9040SR French Door Convert com Sistema Triple Cooling - 564L;18.899,00;12;1.574,92
Geladeira Samsung Side by Side Inox 501 Litros 110V RS50N3413S8/AZ;9.999,00;12;833,25
Refrigerador Panasonic 480 Litros BB71 Black Glass Bottom Freezer;5.433,86;12;452,82
Side By Side Philco PRF520DI – Geladeira e Freezer;7.209,00;12;600,75
Refrigerador Electrolux Frost Free Multi Door 579 Litros Inox DM84X;7.247,78;12;603,98
Refrigerador Brastemp Frost Free Duplex 500L 2 Portas Inox 127V BRM57AK;5.143,33;12;428,61
Refrigerador Brastemp BRM59AK Frost Free 478L - Evox;5.499,00;12;458,25
Geladeira Frost Free Electrolux DB53X Bottom Freezer 454L Inox 127V;4.649,00;12;387,42
 Refrigerador Electrolux Df82 553 Litros Frost Free;5.399,00;12;449,92
Geladeira Refrigerador Panasonic 425L Frost Free Inverse NR-BB53PV3X;4.799,90;12;399,99
Refrigerador Electrolux Frost Free 454 Litros Inox DB53X - 127 Volts;4.997,69;12;416,47
Refrigerador Electrolux Frost Free 454 Litros Inox DB53X;4.946,01;12;412,17
Refrigerador Brastemp BRM56AB Frost Free Duplex 462 Litros;3.799,00;12;316,58
Geladeira/Refrigerador Frost Free 500L Brastemp BRM57AK Evox;5.427,45;12;452,29
Geladeira Refrigerador Panasonic 425 Litros 2 Portas;4.299,90;12;358,32
Geladeira Refrigerador Panasonic 483 Litros Frost Free Duplex NR-BT55PV2W;3.323,00;12;276,92
Refrigerador Panasonic NR-BT50BD3XB 2 Portas 435 Litros Frost Free Branco;3.789,90;12;315,82
Refrigerador Panasonic NR BT50BD3XA Frost Free Econavi 435 Litros Inox;2.669,00;10;266,90
Refrigerador Electrolux Top Freezer 474L Branco 220V TF56;4.210,00;12;350,83
Geladeira/Refrigerador TF56 Top Freezer 474L ;3.199,00;12;266,58
Geladeira / Refrigerador Frost Free Duplex Consul CRM43NK, 386 Litros;3.048,43;12;254,04
Refrigerador Continental Tc44 Frost Free Duplex 394 Litros;2.780,00;11;252,73
Geladeira Refrigerador Panasonic 435 Litros Frost Free Duplex NR-BT50BD3;3.047,80;12;253,98
Geladeira Refrigerador Panasonic 387L Frost Free Duplex NR-BT40BD1W;2.899,00;11;263,55
Refrigerador Consul Frost Free 342L Inox CRB39AK – 220 Volts;2.408,91;10;240,89
Geladeira/Refrigerador Electrolux Frost Free 1 Porta RFE39 322 Litros Branco;2.099,00;10;209,90
Refrigerador Consul 261L 1 Porta Branco 127V CRA30FBANA;1.499,00;10;149,90
Refrigerador Electrolux Degelo Prático 240L Cycle Defrost - RE31;1.710,45;10;171,04
Refrigerador 386 Litros Consul 2 Portas Frost Free Classe A Crm43Hkana ;3.199,90;12;266,66
Refrigerador Consul 386L Frost Free Classe A - CRM43 Platinum;3.199,90;12;266,66
Geladeira Consul CRM50HB Frost Free 410L;0;0;0
Refrigerador Toshiba GR-RF646WEPMA Frenchdoor Convertzone 638L – Cinza Morandi;18.799,00;12;1.566,58
Refrigerador Brastemp Frost Free Duplex 462L BRM56AK Inox;4.799,90;12;399,99
Geladeira/Refrigerador LG Side by Side 601L GC-L247SLUV Inox;9.899,00;12;824,92
Refrigerador Panasonic Frost Free Duplex 483L NR-BT55PV2X;4.499,90;12;374,99
Refrigerador Panasonic NR-BB53PV3X Frost Free com Tecnologia Inverter Aço Escovado;4.909,00;12;409,08
Refrigerador de 02 Portas Electrolux Frost Free com 474 Litros com Top Freezer Platinum - DF56S;4.706,93;12;392,24
Geladeira/Refrigerador French Door Conectado 540L ;16.999,00;12;1.416,58
Geladeira Frost Free Syde Inverse 3 Portas 540L Platinum - Brastemp;7.799,00;12;649,92
Refrigerador French Door Samsung de 03 Portas Frost Free 536 Litros Tecnologia Twin Cooling Plus Inox - RF23R6201SR/AZ;19.258,93;12;1.604,91
Refrigerador French Door Samsung de 03 Portas Frost Free 536 Litros Tecnologia Twin Cooling Plus Inox - RF23R6201SR/AZ;19.258,93;12;1.604,91
Refrigerador Philco Side By Side 554L PRF600I Inverter 220V;10.199,90;12;849,99
Refrigerador Samsung 470 Litros 3 Portas Frost Free Syde Inverse RF49A5202S9;10.628,90;12;885,74
Refrigerador Consul Degelo Seco 261 Litros CRA30FBANA ;1.898,25;10;189,82
Geladeira Electrolux Frost Free RFE39 322 Litros Branca;2.059,00;10;205,90
Refrigerador Side By Inverse Platinum 540L Brastemp 110V;7.699,00;12;641,58
Geladeira Consul Degelo Seco 261L - CRA30 FBANA Branco;2.169,00;10;216,90
Geladeira Consul Frost Free 342L CRB39 ABANA Branca 110V;2.599,00;10;259,90
Vitrine New Panoramica Refrigerada Serpentina 1,79m, VNPRS 1790 Preto 220v - Refrimate;6.512,69;12;542,72
Geladeira/Refrigerador Consul Frost Free Duplex 386L CRM43NB;2.899,90;11;263,63
Refrigerador Brastemp BRO80AKB 3 Portas 540 Litros;7.499,90;12;624,99
Geladeira Refrigerador French Door LG 428L Inox GCL228FTLK;14.600,46;12;1.216,70
Geladeira Consul Frost Free Duplex - Branca 340L CRM39ABANA;3.029,00;12;252,42
Geladeira/Refrigerador Electrolux Frost Free Duplex TF39;2.699,90;10;269,99
Refrigerador Continental Duplex Frost Free 370L Branco 220V;2.554,44;10;255,44
Geladeira Brastemp Frost Free 462L 2 Portas BRM56AK Evox;4.299,00;12;358,25
Refrigerador Gorenje Retro Collection Ion Generation 2 Portas Inverse Preto 220V ONRK192BK;14.419,00;12;1.201,58
Refrigerador Brastemp Frost Free Inverse 540L BRO80 Inox;6.999,90;12;583,32
 Refrigerador Electrolux DC51X Cycle Defrost Duas Portas 475 Litros Inox;3.899,00;12;324,92
Geladeira/Refrigerador Brastemp Frost Free Duplex 375L BRM44;3.299,90;12;274,99
Geladeira Frost Free Side Inverse 540L BRO80AE com Ice Maker Brastemp;8.999,00;12;749,92
Geladeira Smart Side by Side LG 601L inox 220v - GC-L247SLUV;11.653,95;12;971,16
REFRIGERADOR 362L ELECTROLUX 2P CYCLE DEFROST DC44 / BRANCO / 220v;3.048,78;12;254,06
Geladeira/Refrigerador Frost Free 342L Consul CRB39AK Inox 220V;2.169,99;10;217,00
