Livro;preco;parcelas;valor_parcelas
The Girl Warriors;131,48;2;65,74
I.N.R.I. [microform];167,63;2;83,82
 The Witcher - A Saga Do Bruxo Geralt De Rívia;35,90;1;35,90
 2ª Edição;34,90;1;34,90
Um Corpo Na Biblioteca;18,90;1;18,90
Crime E Castigo;63,90;1;63,90
 O Cão Dos Baskerville;13,90;1;13,90
 O Vale Do Medo;12,90;1;12,90
Me;33,32;1;33,32
Apoorv;135,88;2;67,94
Azhagiya suntharaa;140,88;2;70,44
Billy Summers;69,90;1;69,90
The Wild Olive [microform];176,55;2;88,28
Detective Story Magazine, Aug 27 1921;145,91;2;72,96
Yusuf Khan;167,63;2;83,82
The Smileys [microform];145,25;2;72,62
Helping Howard;115,43;2;57,72
The Home and The World;99,08;2;49,54
Cuando Acabe La Música;144,01;2;72,00
A Memory of Light;119,66;2;59,83
Shining Man;135,58;2;67,79
Two Bums;83,78;1;83,78
Sweet Tea & Honey Bees;113,43;2;56,72
The Old House in the Country;140,93;2;70,46
House of Matchsticks;185,80;2;92,90
Abstract Humor;122,42;2;61,21
Three Stories & Ten Poems (Warbler Classics Annotated Editi;60,65;1;60,65
Let Not Man Put Asunder [microform];194,87;2;97,44
The Voice of the Wire [microform];167,85;2;83,92
Partner Pursuit;130,48;2;65,24
Nick Grainger Book One The Curse Of Cleopatra;132,44;2;66,22
Pyrrhus [microform];144,51;2;72,26
borer;95,13;1;95,13
Buckle Bunny;140,20;2;70,10
The Sanctuary;165,35;2;82,68
Under Fire;176,68;2;88,34
"The Pomegranate; B276";97,39;1;97,39
Gatekeepers of Eden;127,21;2;63,60
Spark;131,95;2;65,98
Vindictive;183,73;2;91,86
Retrievers;139,53;2;69,76
Evanesce;176,67;2;88,34
Into Shadow Forest;125,35;2;62,68
The Deads Hero;132,18;2;66,09
An Ifugao Burial Ceremony;185,19;2;92,60
In The Shadows Of The Pines;111,96;2;55,98
"Babolain, a Novel;";166,09;2;83,04
A Time And A Place;138,16;2;69,08
Christmas Billionaires Surprises;219,34;2;109,67
Searching for a Home;138,16;2;69,08
The Old Recruit;126,08;2;63,04
The National Tribune Scrap Book;210,52;2;105,26
The Hand of Peril [microform];175,65;2;87,82
The Pretender [microform];176,16;2;88,08
Suzie Empowered;112,64;2;56,32
The Illustrious Prince [microform];175,88;2;87,94
Rangers of Liberus;120,46;2;60,23
Winters Reckoning;148,67;2;74,34
Springs Calling;149,74;2;74,87
Withershynnes;156,44;2;78,22
Garkoks Dran;237,20;2;118,60
Gateway Jumpers;116,52;2;58,26
A Wonder Web of Stories [microform];152,27;2;76,14
Uptown Lawyer;127,95;2;63,98
Heir of the First Tower;206,54;2;103,27
Sunrise Over Pebble Bay;116,49;2;58,24
Heir of the First Tower;178,30;2;89,15
Lokanavodhanam;103,16;2;51,58
Heroine Of The Desert;129,90;2;64,95
