nome;preco_a_vista;parcelas;preco_parcelado
Geladeira Infantil Mágica Super Ref, 8052 - Magic Toys;217,84;1;0
Capas Máquina Lavar Brastp 12kg 13kg 15kg 16kg Impermeável;45;4;11,25
Geladeira Infantil Completa Com Som E Luz Le Chef Cozinha Dia das crianças;123,4;1;0
Refrigerador Philco Inverse 4 Portas PRF411I 403L;5,399,91;1;0
Frigobar Eos Ice Compact 90L Branco Efb100 - 110V;832,15;1;0
Carrinho Para Fogão Geladeira Suporte Pé Gira Fácil Inox;220,22;1;0
Combo 2 Filtros B Estar Consul - Desodorizador e AntiBactéria - CJ-W10515645_2;59,9;6;9,98
Frigobar 45 litros 127V - midea;668,86;1;0
Refrigerador Duplex Electrolux 474 Litros Frost Free DF56;3,719,07;1;0
Refrigerador Invert 425 L Inox Frost Free Panasonic;4,799,00;12;399,91
Filtro Refil Interno Geladeira Refrigerador Samsung;244,6;12;20,38
Refrigerador Midea Multidoor 482 Litros Inverter RF5561;5,427,90;1;0
Geladeira Duplex - Lua de Cristal ref, 203;137,73;1;0
Cozinha Infantil com refrigerador mdf Diana Rosa/Branco - Ofertamo;721,09;1;0
Frigobar Suggar 88L Inox;2,090,91;1;0
Frigobar Britânia BFG85PL 67 Litros;1,124,91;1;0
Geladeira/Refrigerador Continental Frost Free - Duplex Branca 394L TC44;2,889,00;12;240,75
Refrigerador/Expositor Vertical Gelopar GPTU-40 Frost Free 414 L Branco;3,959,99;1;0
Frigobar Gallant Venezia 71L Branco 220V;773,14;1;0
Refrigerador Midea Frost Free 425 Litros Inox MD-RT453 – 220 Volts;2,616,30;0;0
Geladeira Samsung Evolution RT46 com PowerVolt Inverter Duplex 460L - Branca;4,159,99;12;346,66
Freezer e Refrigerador Philco PFV205I Vertical Inox Prium 201L;2,803,95;0;0
Frigobar 45 Litros 220v - Midea;696,91;1;0
Freezer Vertical Philco PFV205B 1 Porta 2  1 Freezer e Refrigerador 201 Litros Branco;2,183,00;12;181,91
Geladeira/Refrigerador Philco Side By Side PRF504I Inox 489L;4,494,16;1;0
Refrigerador/Expositor Vertical Gelopar GPTU-40 Frost Free 414 L Preto;3,959,99;1;0
Frigobar Britânia 67 Litros BFG85B Branco 110V 110V;809,1;1;0
Cozinha Infantil De Brinquedo Geladeira + Fogao + Acessorios;75,9;1;0
Geladeira Samsung Evolution RT46 PowerVolt Inverter Duplex 460L Black Inox Look;4,739,99;12;394,99
Refrigerador Vertical Vrs-16 454 Litros Imbera Preto 127v;3,335,99;1;0
Geladeira Continetal Automática Frost Free 2 Portas TC44S 394 Litros Prata;2,526,30;1;0
Refrigerador de 02 Portas Electrolux Frost Free com 474 Litros com Top Freezer Platinum - DF56S;3,869,14;1;0
Adesivo de Geladeira e Parede Decalque Vinil Lavável Borboletas Decoração;24,9;1;0
Refrigerador Brastp Frost Free 3 Portas Inverse BRY59BE 419 Litros;6,285,87;0;0
Geladeira Magic Toys Branca e Rosa 8051L;209,51;1;0
Geladeira Electrolux DF44S Frost Free Platinum 402L;3,651,02;0;0
Geladeira Infantil Duplex Cristal - Lua De Cristal;161,4;1;0
Frigobar Philco 123L PFG125B;1,460,41;12;121,7
Filtro de Água Side by Side Brastp - W10510889;199,9;12;16,65
Geladeira Brastp Inverse Frost Free 460 litros - BRE59 Inox;6,285,87;0;0
Refrigerador Philco Side By Side PRF533I;5,393,96;12;449,49
Kit Com 4 Filtro Similar Electrolux Pe11 Pe11X Pe11B;195;12;16,25
Frigobar Eos Ice Compact 47L Preto Efb50P 110V;645,15;1;0
Frigobar c/ Porta de Vidro BZA08 76L Preto - Brastp;2,573,00;12;214,41
Frigobar Eos Prium 118l Efb130p Preto,;1,061,65;1;0
Frigobar Consul 1 Porta 117 Litros CRC12CB;1,299,01;12;108,25
Capa Grossa Impermeável Maquina Lavar Electrolux Consul Brastp Colormaq 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17 kg;42,9;4;10,72
Refrigerador Esmaltec RDC 38 306 Litros Branco;2,159,00;12;179,91
Refrigerador porta de vidro 324l vb28rh all black - metalfrio;3,909,49;1;0
Geladeira panasonic BB53 branca 425L 127V;3,626,73;1;0
Refrigerador Expositor Vertical Metalfrio Branco VB25R Light 235 Litros 220V 220V;2,969,10;1;0
IONIZADOR AGUA ALCALINA AURA SOLUTIONS MARCA DIMI KIT 2 DIMI´S, água alcalina e antioxidante SQUEEZE porta celular para geladeira ESPECIAL BPA FREE;370,42;1;0
Freezer Horizontal Midea 295l 127v;2,299,84;10;229,98
Geladeira Esmaltec Degelo Manual Simples 1 Porta ROC35 259 Litros;1,546,59;0;0
Refrigerador Panasonic BT55 Top Freezer 2 Portas Frost Free 483 Litros Branco 127V NR-BT55PV2WA;3,202,83;1;0
Geladeira Panasonic Frost Free Duplex 2 Portas NR-BT50BD3XA 435 Litros Inox 127V;3,182,76;1;0
Geladeira Infantil Le Chef C/ Som E Luz - Usual Brinquedos;123,4;1;0
Geladeira Top Freezer 402l Branco (df44);2,975,07;1;0
Suporte Pé Carrinho Geladeira Fogão Maquina De Lavar 80x80cm 300kg;206,29;10;20,62
Refrigerador Panasonic Black Glass Bb71;5,103,91;1;0
Geladeira/Refrigerador Samsung French Door RF23R6201SR Inox Look 536L Smart (Wi-Fi) com Twin Cooling;20,331,00;12;1,694,25
Geladeira/Refrigerador Continental Frost Free Duplex Prata 370 Litros (TC41S);2,510,07;1;0
Refrigerador Midea 2 Portas Top Mount Freezer 480 Litros RT5072;3,275,10;1;0
Refrigerador Vitrine Metalfrio 406 Litros VB40RH, Frost Free, Porta de Vidro, Preto;4,349,00;10;434,9
Geladeira Infantil Branca E Rosa Com Acessórios Magic Toys - 8051P;187,64;1;0
Kit Cozinha Infantil Brinquedo Luz /Som geladeira acessórios;156,75;1;0
